Sep 22 15:04:52 picocom v3.1
Sep 22 15:04:52 
Sep 22 15:04:52 port is        : /dev/ttyUSB0
Sep 22 15:04:52 flowcontrol    : none
Sep 22 15:04:52 baudrate is    : 115200
Sep 22 15:04:52 parity is      : none
Sep 22 15:04:52 databits are   : 8
Sep 22 15:04:52 stopbits are   : 1
Sep 22 15:04:52 escape is      : C-a
Sep 22 15:04:52 local echo is  : no
Sep 22 15:04:52 noinit is      : no
Sep 22 15:04:52 noreset is     : no
Sep 22 15:04:52 hangup is      : no
Sep 22 15:04:52 nolock is      : no
Sep 22 15:04:52 send_cmd is    : sz -vv
Sep 22 15:04:52 receive_cmd is : rz -vv -E
Sep 22 15:04:52 imap is        : 
Sep 22 15:04:52 omap is        : 
Sep 22 15:04:52 emap is        : crcrlf,delbs,
Sep 22 15:04:52 logfile is     : none
Sep 22 15:04:52 initstring     : none
Sep 22 15:04:52 exit_after is  : not set
Sep 22 15:04:52 exit is        : no
Sep 22 15:04:52 
Sep 22 15:04:52 Type [C-a] [C-h] to see available commands
Sep 22 15:04:52 Terminal ready
Sep 22 15:04:52 IINFO ot= 202808 st= 85280824 pending=TRUE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:52 IINFO ot= 202808 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 202808 st= 86275036 pending=FALSE dv=FALSE
Sep 22 15:04:53 IINFO ot= 108176 st= 86275036 pending=TRUE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:53 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 108176 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 108176 st= 87285811 pending=FALSE dv=FALSE
Sep 22 15:04:54 IINFO ot= 96317 st= 87285811 pending=TRUE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:54 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 96317 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 96317 st= 88280342 pending=FALSE dv=FALSE
Sep 22 15:04:55 IINFO ot= 96317 st= 88280342 pending=FALSE dv=FALSE
Sep 22 15:04:55 IINFO ot= 202044 st= 88280342 pending=TRUE dv=TRUE
Sep 22 15:04:55 IINFO ot= 202044 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 202044 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 202044 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 202044 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 202044 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:55 IINFO ot= 202044 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 202044 st= 89282043 pending=FALSE dv=FALSE
Sep 22 15:04:56 IINFO ot= 101628 st= 89282043 pending=TRUE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:56 IINFO ot= 101628 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:57 IINFO ot= 101628 st= 90280849 pending=FALSE dv=FALSE
Sep 22 15:04:57 IINFO ot= 101628 st= 90280849 pending=FALSE dv=FALSE
Sep 22 15:04:57 IINFO ot= 201657 st= 90280849 pending=TRUE dv=TRUE
Sep 22 15:04:57 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:57 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:57 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:57 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:57 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:57 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 201657 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 201657 st= 91285637 pending=FALSE dv=FALSE
Sep 22 15:04:58 IINFO ot= 201657 st= 91285637 pending=FALSE dv=FALSE
Sep 22 15:04:58 IINFO ot= 198099 st= 91285637 pending=TRUE dv=TRUE
Sep 22 15:04:58 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:58 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 198099 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 198099 st= 92280642 pending=FALSE dv=FALSE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:04:59 IINFO ot= 102643 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 102643 st= 93282097 pending=FALSE dv=FALSE
Sep 22 15:05:00 IINFO ot= 99547 st= 93282097 pending=TRUE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:00 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99547 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99547 st= 94281391 pending=FALSE dv=FALSE
Sep 22 15:05:01 IINFO ot= 99154 st= 94281391 pending=TRUE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:01 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 99154 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 99154 st= 95282056 pending=FALSE dv=FALSE
Sep 22 15:05:02 IINFO ot= 99154 st= 95282056 pending=FALSE dv=FALSE
Sep 22 15:05:02 IINFO ot= 200462 st= 95282056 pending=TRUE dv=TRUE
Sep 22 15:05:02 IINFO ot= 200462 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 200462 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 200462 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 200462 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 200462 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:02 IINFO ot= 200462 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 200462 st= 96282007 pending=FALSE dv=FALSE
Sep 22 15:05:03 IINFO ot= 99198 st= 96282007 pending=TRUE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:03 IINFO ot= 99198 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 99198 st= 97280078 pending=FALSE dv=FALSE
Sep 22 15:05:04 IINFO ot= 101588 st= 97280078 pending=TRUE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:04 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 101588 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 101588 st= 98280002 pending=FALSE dv=FALSE
Sep 22 15:05:05 IINFO ot= 101588 st= 98280002 pending=FALSE dv=FALSE
Sep 22 15:05:05 IINFO ot= 202267 st= 98280002 pending=TRUE dv=TRUE
Sep 22 15:05:05 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:05 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:06 IINFO ot= 202267 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 202267 st= 100280856 pending=FALSE dv=FALSE
Sep 22 15:05:07 IINFO ot= 100179 st= 100280856 pending=TRUE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:07 IINFO ot= 100179 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:08 IINFO ot= 100179 st= 101281991 pending=FALSE dv=FALSE
Sep 22 15:05:08 IINFO ot= 100179 st= 101281991 pending=FALSE dv=FALSE
Sep 22 15:05:08 IINFO ot= 201466 st= 101281991 pending=TRUE dv=TRUE
Sep 22 15:05:08 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:08 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:08 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:08 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:08 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:08 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 201466 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 201466 st= 102278533 pending=FALSE dv=FALSE
Sep 22 15:05:09 IINFO ot= 201466 st= 102278533 pending=FALSE dv=FALSE
Sep 22 15:05:09 IINFO ot= 204612 st= 102278533 pending=TRUE dv=TRUE
Sep 22 15:05:09 IINFO ot= 204612 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 204612 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 204612 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 204612 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 204612 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:09 IINFO ot= 204612 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 204612 st= 103284234 pending=FALSE dv=FALSE
Sep 22 15:05:10 IINFO ot= 93615 st= 103284234 pending=TRUE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:10 IINFO ot= 93615 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:11 IINFO ot= 93615 st= 104277715 pending=FALSE dv=FALSE
Sep 22 15:05:11 IINFO ot= 93615 st= 104277715 pending=FALSE dv=FALSE
Sep 22 15:05:11 IINFO ot= 227479 st= 104277715 pending=TRUE dv=TRUE
Sep 22 15:05:11 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:11 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:11 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:11 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:11 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:11 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 227479 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 227479 st= 105281463 pending=FALSE dv=FALSE
Sep 22 15:05:12 IINFO ot= 227479 st= 105281463 pending=FALSE dv=FALSE
Sep 22 15:05:12 IINFO ot= 199174 st= 105281463 pending=TRUE dv=TRUE
Sep 22 15:05:12 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:12 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:13 IINFO ot= 199174 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:13 IINFO ot= 199174 st= 106282525 pending=FALSE dv=FALSE
Sep 22 15:05:13 IINFO ot= 102092 st= 106282525 pending=TRUE dv=TRUE
Sep 22 15:05:13 IINFO ot= 102092 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:13 IINFO ot= 102092 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:13 IINFO ot= 102092 st= 0 pending=FALSE dv=TRUE
Sep 22 15:05:13 IINFO ot= 102092 st= 0 pending=FALSE dv=TRUE
